,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
208,210,pennyworth,8,19,18,2
209,211,carmen sandiego,5,4,7,0
210,212,dirilis: ertugrul,8,6,18,137
211,213,nanatsu no taizai,5,4,7,0
212,214,into the badlands,8,6,18,137
213,215,agent carter,8,6,22,97
214,216,noragami,5,4,7,0
215,217,kiru ra kiru: kill la kill,5,4,6,67
216,218,star vs. the forces of evil,5,11,5,81
217,219,almost human,8,19,18,2
218,220,jessica jones,8,19,18,2
219,221,dragons: riders of berk,5,4,7,0
220,222,altered carbon,8,16,0,62
221,223,transformers prime,5,4,7,0
222,224,london files,8,19,18,2
223,225,rashash,8,16,16,54
224,226,alef,8,19,18,2
225,227,queen of the south,8,19,18,2
226,228,the forgotten army - azaadi ke liye,8,16,8,5
227,229,black lagoon,5,4,7,0
228,230,jericho,8,16,19,84
229,231,ergo proxy,5,4,7,0
230,232,eung-dab-ha-ra 1988,1,16,20,172
231,233,rick and morty,5,6,6,12
232,234,gullak,1,16,20,172
233,235,leyla ile mecnun,4,5,18,19
234,237,yeh meri family,1,16,20,172
235,238,hunter x hunter,5,4,7,0
236,239,campus diaries,1,16,3,7
237,240,clarkson's farm,6,5,4,110
238,241,vratice se rode,1,19,18,13
239,242,flames,1,16,3,7
240,243,sugarland,5,5,20,86
241,244,last week tonight with john oliver,1,7,14,101
242,245,gravity falls,5,4,7,0
243,246,kaubôi bibappu,5,4,7,0
244,247,immature,1,16,3,7
245,248,content cop,1,19,17,90
246,249,over the garden wall,5,11,7,113
247,250,haikyuu!!,5,5,18,165
248,251,bojack horseman,5,5,18,165
249,252,steins;gate,5,5,18,165
250,253,ted lasso,1,16,1,85
251,254,hajime no ippo,5,4,6,67
252,255,one piece: wan pîsu,5,4,7,0
253,256,dragon ball z: doragon bôru zetto,5,4,7,0
254,257,the family man,8,5,18,61
255,258,it's a sin,1,16,8,197
256,259,the grand tour,1,1,17,199
257,260,this is us,1,16,3,7
258,261,one punch man: wanpanman,5,4,6,67
259,262,jugaadistan,1,16,16,4
260,263,top gear,4,5,4,103
261,264,strappare lungo i bordi,5,5,18,165
262,265,horrible histories,1,18,8,74
263,266,spy x family,5,4,6,67
264,267,sa-rang-eui bul-sa-chak,4,5,3,135
265,268,naruto: shippûden,5,4,7,0
266,269,gintama,5,4,6,67
267,270,slam dunk: suramu danku,5,5,18,165
268,271,ikinci bahar,1,16,20,172
269,272,fruits basket,5,5,18,165
270,273,what we do in the shadows,1,2,10,25
271,274,humorously yours,1,16,3,7
272,275,sseulsseulhago chalranhashin: dokkaebi,1,16,2,46
273,276,mob psycho 100,5,4,6,67
274,277,merlí,1,16,3,7
275,278,atlanta,1,16,11,15
276,279,kardes payi,1,16,20,172
277,280,archer,5,4,6,67
278,281,ôsama ranking,5,6,6,12
279,282,adventure time,5,4,7,0
280,283,clannad: after story,5,5,18,165
281,284,saikojiman gwaenchanha,1,16,3,7
282,285,flight of the conchords,1,8,13,18
283,287,samurai chanpurû,5,4,7,0
284,288,the venture bros.,5,4,7,0
285,291,kaguya-sama wa kokurasetai ~ tensai tachi no ren'ai zunô sen ~,5,5,3,22
286,294,hilda,5,6,6,12
287,296,inside no. 9,1,19,18,13
288,297,please like me,1,16,3,7
289,299,modern family,1,16,3,7
290,300,smiling friends,5,11,6,21
291,301,summer heights high,1,16,20,172
292,303,boston legal,1,19,18,13
293,304,garth marenghi's darkplace,1,2,10,25
294,306,gto,5,5,18,165
295,309,futurama,5,6,6,12
296,311,alfred hitchcock presents,1,19,18,13
297,313,college romance,1,16,3,7
298,314,saiki kusuo no psi nan,5,5,2,82
299,316,mutlu ol yeter,1,16,3,7
300,318,this is england '90,1,19,18,13
301,319,my mad fat diary,1,16,3,7
302,321,last tango in halifax,1,16,3,7
303,324,the ricky gervais show,5,5,17,186
304,325,between two ferns with zach galifianakis,7,5,17,185
305,326,terriers,1,19,18,13
306,327,kursadzije,1,16,10,183
307,330,dr. horrible's sing-along blog,7,5,13,182
308,332,julie and the phantoms,4,5,18,19
309,333,pushing daisies,1,16,2,46
310,334,the graham norton show,1,8,17,179
311,335,psych,1,19,19,178
312,336,the colbert report,1,13,17,177
313,337,the mighty boosh,1,2,13,176
314,339,doc martin,1,16,3,7
315,342,my so-called life,1,16,3,7
316,343,the adventures of pete & pete,1,16,20,172
317,344,the wonder years,1,16,20,172
318,345,the bugs bunny/looney tunes comedy hour,5,18,6,171
319,346,'allo 'allo!,1,7,9,170
320,347,the muppet show,1,18,11,169
321,348,m*a*s*h,1,16,9,36
322,349,why women kill,1,19,18,13
323,351,dangshini jamdeun saie,1,16,2,46
324,352,yuri!!! on ice,5,5,18,165
325,355,the dark knight,8,19,18,2
326,433,yôjinbô,8,16,16,54
327,434,the general,8,6,6,17
328,435,sherlock jr.,8,5,3,99
329,436,bajrangi bhaijaan,8,6,6,17
330,437,haider,8,19,18,2
